,2023-09-30
Tax Effect Of Unusual Items,-83780000.0
Tax Rate For Calcs,0.071
Normalized EBITDA,26293000000.0
Total Unusual Items,-1180000000.0
Total Unusual Items Excluding Goodwill,-1180000000.0
Net Income From Continuing Operation Net Minority Interest,19689000000.0
Reconciled Depreciation,3800000000.0
Reconciled Cost Of Revenue,33229000000.0
EBITDA,25113000000.0
EBIT,21313000000.0
Net Interest Income,950000000.0
Interest Expense,116000000.0
Interest Income,1066000000.0
Normalized Income,20785220000.0
Net Income From Continuing And Discontinued Operation,19689000000.0
Total Expenses,55350000000.0
Total Operating Income As Reported,21343000000.0
Diluted Average Shares,12696000000.0
Basic Average Shares,12581000000.0
Diluted EPS,1.55
Basic EPS,1.56
Diluted NI Availto Com Stockholders,19689000000.0
Net Income Common Stockholders,19689000000.0
Net Income,19689000000.0
Net Income Including Noncontrolling Interests,19689000000.0
Net Income Continuous Operations,19689000000.0
Tax Provision,1508000000.0
Pretax Income,21197000000.0
Other Income Expense,-1096000000.0
Other Non Operating Income Expenses,299000000.0
Earnings From Equity Interest,-215000000.0
Gain On Sale Of Security,-1180000000.0
Net Non Operating Interest Income Expense,950000000.0
Interest Expense Non Operating,116000000.0
Interest Income Non Operating,1066000000.0
Operating Income,21343000000.0
Operating Expense,22121000000.0
Research And Development,11258000000.0
Selling General And Administration,10863000000.0
Selling And Marketing Expense,6884000000.0
General And Administrative Expense,3979000000.0
Other Gand A,3979000000.0
Gross Profit,43464000000.0
Cost Of Revenue,33229000000.0
Total Revenue,76693000000.0
Operating Revenue,76693000000.0
