,2023-09-30
Tax Effect Of Unusual Items,204700303.552383
Tax Rate For Calcs,0.189187
Normalized EBITDA,24044000000.0
Total Unusual Items,1082000000.0
Total Unusual Items Excluding Goodwill,1082000000.0
Net Income From Continuing Operation Net Minority Interest,9879000000.0
Reconciled Depreciation,12131000000.0
Reconciled Cost Of Revenue,118539000000.0
EBITDA,25126000000.0
EBIT,12995000000.0
Net Interest Income,-30000000.0
Interest Expense,806000000.0
Interest Income,776000000.0
Normalized Income,9001700303.552383
Net Income From Continuing And Discontinued Operation,9879000000.0
Total Expenses,131895000000.0
Total Operating Income As Reported,11188000000.0
Diluted Average Shares,10558000000.0
Basic Average Shares,10322000000.0
Diluted EPS,0.94
Basic EPS,0.96
Diluted NI Availto Com Stockholders,9879000000.0
Net Income Common Stockholders,9879000000.0
Net Income,9879000000.0
Net Income Including Noncontrolling Interests,9879000000.0
Net Income Continuous Operations,9879000000.0
Earnings From Equity Interest Net Of Tax,-4000000.0
Tax Provision,2306000000.0
Pretax Income,12189000000.0
Other Income Expense,1031000000.0
Other Non Operating Income Expenses,-51000000.0
Gain On Sale Of Security,1082000000.0
Net Non Operating Interest Income Expense,-30000000.0
Interest Expense Non Operating,806000000.0
Interest Income Non Operating,776000000.0
Operating Income,11188000000.0
Operating Expense,13356000000.0
Other Operating Expenses,244000000.0
Selling General And Administration,13112000000.0
Selling And Marketing Expense,10551000000.0
General And Administrative Expense,2561000000.0
Other Gand A,2561000000.0
Gross Profit,24544000000.0
Cost Of Revenue,118539000000.0
Total Revenue,143083000000.0
Operating Revenue,143083000000.0
