,2023-09-30
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.149715
Normalized EBITDA,30653000000.0
Net Income From Continuing Operation Net Minority Interest,22956000000.0
Reconciled Depreciation,2653000000.0
Reconciled Cost Of Revenue,49071000000.0
EBITDA,30653000000.0
EBIT,28000000000.0
Net Interest Income,-18000000.0
Interest Expense,1002000000.0
Interest Income,984000000.0
Normalized Income,22956000000.0
Net Income From Continuing And Discontinued Operation,22956000000.0
Total Expenses,62529000000.0
Total Operating Income As Reported,26969000000.0
Diluted Average Shares,15672400000.0
Basic Average Shares,15599434000.0
Diluted EPS,1.46
Basic EPS,1.47
Diluted NI Availto Com Stockholders,22956000000.0
Net Income Common Stockholders,22956000000.0
Net Income,22956000000.0
Net Income Including Noncontrolling Interests,22956000000.0
Net Income Continuous Operations,22956000000.0
Tax Provision,4042000000.0
Pretax Income,26998000000.0
Other Income Expense,47000000.0
Other Non Operating Income Expenses,47000000.0
Net Non Operating Interest Income Expense,-18000000.0
Interest Expense Non Operating,1002000000.0
Interest Income Non Operating,984000000.0
Operating Income,26969000000.0
Operating Expense,13458000000.0
Research And Development,7307000000.0
Selling General And Administration,6151000000.0
Gross Profit,40427000000.0
Cost Of Revenue,49071000000.0
Total Revenue,89498000000.0
Operating Revenue,89498000000.0
